Rk,Player,Year,AllNBA,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Luol Deng,2013,0,SF,27,CHI,75,75,38.7,6.2,14.6,0.426,1,3.1,0.322,5.2,11.5,0.455,0.461,3.1,3.8,0.816,2.2,4.2,6.3,3,1.1,0.4,1.9,1.4,16.5
2,Kobe Bryant,2013,1,SG,34,LAL,78,78,38.6,9.5,20.4,0.463,1.7,5.2,0.324,7.8,15.2,0.51,0.504,6.7,8,0.839,0.8,4.7,5.6,6,1.4,0.3,3.7,2.2,27.3
3,Damian Lillard,2013,0,PG,22,POR,82,82,38.6,6.7,15.7,0.429,2.3,6.1,0.368,4.5,9.6,0.469,0.501,3.3,3.9,0.844,0.5,2.6,3.1,6.5,0.9,0.2,3,2.1,19
4,Nicolas Batum,2013,0,SF,24,POR,73,73,38.5,4.8,11.4,0.423,2.3,6.1,0.372,2.6,5.3,0.481,0.522,2.4,2.9,0.848,1.3,4.3,5.6,4.9,1.2,1.1,2.6,1.9,14.3
5,Kevin Durant,2013,1,SF,24,OKC,81,81,38.5,9,17.7,0.51,1.7,4.1,0.416,7.3,13.6,0.539,0.559,8.4,9.3,0.905,0.6,7.3,7.9,4.6,1.4,1.3,3.5,1.8,28.1
6,James Harden,2013,1,SG,23,HOU,78,78,38.3,7.5,17.1,0.438,2.3,6.2,0.368,5.2,10.9,0.477,0.504,8.6,10.2,0.851,0.8,4.1,4.9,5.8,1.8,0.5,3.8,2.3,25.9
7,Stephen Curry,2013,0,PG,24,GSW,78,78,38.2,8,17.8,0.451,3.5,7.7,0.453,4.5,10.1,0.449,0.549,3.4,3.7,0.9,0.8,3.3,4,6.9,1.6,0.2,3.1,2.5,22.9
8,LeBron James,2013,1,PF,28,MIA,76,76,37.9,10.1,17.8,0.565,1.4,3.3,0.406,8.7,14.5,0.602,0.603,5.3,7,0.753,1.3,6.8,8,7.3,1.7,0.9,3,1.4,26.8
9,LaMarcus Aldridge,2013,0,PF,27,POR,74,74,37.7,8.6,17.8,0.484,0,0.2,0.143,8.6,17.6,0.488,0.485,3.8,4.7,0.81,2.4,6.7,9.1,2.6,0.8,1.2,1.9,2.5,21.1
10,Paul George,2013,1,SF,22,IND,79,79,37.6,6.2,14.9,0.419,2.2,5.9,0.362,4.1,8.9,0.457,0.491,2.8,3.5,0.807,1.1,6.5,7.6,4.1,1.8,0.6,2.9,2.9,17.4
11,Monta Ellis,2013,0,SG,27,MIL,82,82,37.5,7.3,17.5,0.416,1.1,4,0.287,6.1,13.5,0.454,0.448,3.5,4.6,0.773,0.5,3.3,3.9,6,2.1,0.4,3.1,2,19.2
12,Jrue Holiday,2013,0,PG,22,PHI,78,78,37.5,7.1,16.5,0.431,1.2,3.2,0.368,5.9,13.3,0.446,0.466,2.3,3.1,0.752,1.1,3.1,4.2,8,1.6,0.4,3.7,2.2,17.7
13,Rajon Rondo,2013,0,PG,26,BOS,38,38,37.4,5.9,12.2,0.484,0.3,1.3,0.24,5.6,10.9,0.513,0.497,1.6,2.4,0.645,1.1,4.4,5.6,11.1,1.8,0.2,3.9,2.5,13.7
14,Al Horford,2013,0,C,26,ATL,74,74,37.2,7.8,14.3,0.543,0,0.1,0.5,7.7,14.2,0.544,0.545,1.8,2.8,0.644,2.6,7.6,10.2,3.2,1.1,1.1,2,2.2,17.4
15,Carmelo Anthony,2013,1,PF,28,NYK,67,67,37,10,22.2,0.449,2.3,6.2,0.379,7.6,16,0.476,0.502,6.3,7.6,0.83,2,4.9,6.9,2.6,0.8,0.5,2.6,3.1,28.7
16,David Lee,2013,1,PF,29,GSW,79,79,36.8,7.6,14.7,0.519,0,0.1,0,7.6,14.6,0.521,0.519,3.2,4.1,0.797,2.8,8.5,11.2,3.5,0.8,0.3,2.6,3.1,18.5
17,Joakim Noah,2013,0,C,27,CHI,66,64,36.8,4.6,9.5,0.481,0,0.1,0,4.6,9.5,0.485,0.481,2.7,3.6,0.751,3.9,7.2,11.1,4,1.2,2.1,2.7,2.8,11.9
18,DeMar DeRozan,2013,0,SG,23,TOR,82,82,36.7,6.7,15,0.445,0.4,1.5,0.283,6.3,13.5,0.463,0.459,4.3,5.2,0.831,0.6,3.3,3.9,2.5,0.9,0.3,1.8,2.1,18.1
19,Joe Johnson,2013,0,SG,31,BRK,72,72,36.7,6.2,14.6,0.423,2.1,5.5,0.375,4.1,9.1,0.452,0.493,1.8,2.2,0.82,0.7,2.3,3,3.5,0.7,0.2,1.7,1.4,16.3
20,Deron Williams,2013,0,PG,28,BRK,78,78,36.4,6.3,14.4,0.44,2.2,5.7,0.378,4.2,8.7,0.482,0.516,4.1,4.7,0.859,0.4,2.6,3,7.7,1,0.4,2.8,2.5,18.9
21,Chandler Parsons,2013,0,SF,24,HOU,76,76,36.3,6,12.4,0.486,2,5.2,0.385,4,7.2,0.559,0.567,1.5,2,0.729,1,4.3,5.3,3.5,1,0.4,1.9,1.9,15.5
22,Brandon Jennings,2013,0,PG,23,MIL,80,80,36.2,6.2,15.6,0.399,2.2,5.8,0.375,4.1,9.8,0.412,0.468,2.9,3.5,0.819,0.7,2.3,3.1,6.5,1.6,0.1,2.5,1.9,17.5
23,Arron Afflalo,2013,0,SF,27,ORL,64,64,36,6.2,14.1,0.439,1.1,3.8,0.3,5.1,10.4,0.489,0.478,3,3.5,0.857,0.5,3.3,3.7,3.2,0.6,0.2,2.2,2.1,16.5
24,Anderson Varejao,2013,0,C,30,CLE,25,25,36,5.5,11.6,0.478,0,0.2,0,5.5,11.4,0.486,0.478,3.1,4.1,0.755,5.5,8.9,14.4,3.4,1.5,0.6,1.8,2.7,14.1
25,Rudy Gay,2013,0,SF,26,TOT,75,74,35.8,6.9,16.7,0.416,1.1,3.5,0.323,5.8,13.2,0.44,0.449,3.2,3.9,0.814,1.3,4.8,6.1,2.7,1.5,0.7,2.6,2.4,18.2
26,Dwight Howard,2013,1,C,27,LAL,76,76,35.8,6.2,10.7,0.578,0,0.1,0.167,6.2,10.6,0.581,0.579,4.7,9.5,0.492,3.3,9.1,12.4,1.4,1.1,2.4,3,3.8,17.1
27,Klay Thompson,2013,0,SG,22,GSW,82,82,35.8,6.2,14.7,0.422,2.6,6.4,0.401,3.6,8.3,0.437,0.509,1.6,1.9,0.841,0.4,3.3,3.7,2.2,1,0.5,1.9,2.9,16.6
