Rk,Player,Year,AllNBA,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,LeBron James,2017,1,SF,32,CLE,74,74,37.8,9.9,18.2,0.548,1.7,4.6,0.363,8.3,13.5,0.611,0.594,4.8,7.2,0.674,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,26.4
2,Kyle Lowry,2017,0,PG,30,TOR,60,60,37.4,7.1,15.3,0.464,3.2,7.8,0.412,3.9,7.5,0.518,0.569,5,6.1,0.819,0.8,4,4.8,7,1.5,0.3,2.9,2.8,22.4
3,Zach LaVine,2017,0,SG,21,MIN,47,47,37.2,6.9,15.1,0.459,2.6,6.6,0.387,4.4,8.5,0.515,0.544,2.5,3,0.836,0.4,3,3.4,3,0.9,0.2,1.8,2.2,18.9
4,Andrew Wiggins,2017,0,SF,21,MIN,82,82,37.2,8.6,19.1,0.452,1.3,3.5,0.356,7.4,15.6,0.473,0.484,5,6.6,0.76,1.2,2.8,4,2.3,1,0.4,2.3,2.2,23.6
5,Jimmy Butler,2017,1,SF,27,CHI,76,75,37,7.5,16.5,0.455,1.2,3.3,0.367,6.3,13.2,0.477,0.492,7.7,8.9,0.865,1.7,4.5,6.2,5.5,1.9,0.4,2.1,1.5,23.9
6,Karl-Anthony Towns,2017,0,C,21,MIN,82,82,37,9.8,18,0.542,1.2,3.4,0.367,8.5,14.7,0.582,0.576,4.3,5.2,0.832,3.6,8.7,12.3,2.7,0.7,1.3,2.6,2.9,25.1
7,James Harden,2017,1,PG,27,HOU,81,81,36.4,8.3,18.9,0.44,3.2,9.3,0.347,5.1,9.6,0.53,0.525,9.2,10.9,0.847,1.2,7,8.1,11.2,1.5,0.5,5.7,2.7,29.1
8,John Wall,2017,1,PG,26,WAS,78,78,36.4,8.3,18.4,0.451,1.1,3.5,0.327,7.2,14.9,0.48,0.482,5.4,6.8,0.801,0.8,3.4,4.2,10.7,2,0.6,4.1,1.9,23.1
9,Anthony Davis,2017,1,C,23,NOP,75,75,36.1,10.3,20.3,0.505,0.5,1.8,0.299,9.7,18.6,0.524,0.518,6.9,8.6,0.802,2.3,9.5,11.8,2.1,1.3,2.2,2.4,2.2,28
10,Paul George,2017,0,SF,26,IND,75,75,35.9,8.3,18,0.461,2.6,6.6,0.393,5.7,11.4,0.501,0.534,4.5,5,0.898,0.8,5.8,6.6,3.3,1.6,0.4,2.9,2.7,23.7
11,Damian Lillard,2017,0,PG,26,POR,75,75,35.9,8.8,19.8,0.444,2.9,7.7,0.37,6,12.1,0.492,0.516,6.5,7.3,0.895,0.6,4.3,4.9,5.9,0.9,0.3,2.6,2,27
12,Giannis Antetokounmpo,2017,1,SF,22,MIL,80,80,35.6,8.2,15.7,0.521,0.6,2.3,0.272,7.6,13.5,0.563,0.541,5.9,7.7,0.77,1.8,7,8.8,5.4,1.6,1.9,2.9,3.1,22.9
